iter	MultiClass
0	3.088921012
1	2.936774875
2	2.816286692
3	2.715394353
4	2.634714435
5	2.566657211
6	2.50995346
7	2.455606054
8	2.41234322
9	2.374703417
10	2.339895907
11	2.308384231
12	2.28196003
13	2.259135794
14	2.23897531
15	2.219639142
16	2.201414067
17	2.186014116
18	2.170808085
19	2.154195608
20	2.141459076
21	2.128728171
22	2.117903546
23	2.107436377
24	2.09636589
25	2.084918778
26	2.076061797
27	2.066307082
28	2.057029379
29	2.051248679
30	2.045226832
31	2.037103107
32	2.02890177
33	2.022877017
34	2.016457323
35	2.010616991
36	2.005179454
37	1.999337899
38	1.994779795
39	1.99126801
40	1.986264783
41	1.982916273
42	1.978842559
43	1.973003972
44	1.969742319
45	1.965918494
46	1.962424872
47	1.958967076
48	1.955907767
49	1.95205157
50	1.950078012
51	1.947137057
52	1.944322301
53	1.94114023
54	1.937274273
55	1.933359091
56	1.930939779
57	1.926741045
58	1.924814231
59	1.921596138
60	1.919020641
61	1.917145703
62	1.914099786
63	1.909888954
64	1.906765697
65	1.90516468
66	1.902355404
67	1.900140887
68	1.897511544
69	1.895730563
70	1.894138703
71	1.893055368
72	1.891151937
73	1.889194592
74	1.886103155
75	1.884195631
76	1.881666175
77	1.879377962
78	1.876806531
79	1.874070548
80	1.871227367
81	1.869880205
82	1.867549758
83	1.864475056
84	1.862541955
85	1.859581796
86	1.857080818
87	1.853893025
88	1.850682534
89	1.848292801
90	1.846387032
91	1.844014624
92	1.842686466
93	1.841167814
94	1.83899704
95	1.837830373
96	1.834943144
97	1.832880733
98	1.831190376
99	1.828051525
100	1.825679566
101	1.824659167
102	1.823294046
103	1.822141129
104	1.819519554
105	1.818487856
106	1.816623188
107	1.813592821
108	1.812492495
109	1.809219587
110	1.807740909
111	1.807078703
112	1.80592616
113	1.803521659
114	1.802537778
115	1.801430083
116	1.80067127
117	1.798297192
118	1.797034553
119	1.795698659
120	1.794439912
121	1.793205554
122	1.79244194
123	1.791634131
124	1.79005028
125	1.789381939
126	1.78898054
127	1.786566086
128	1.785846911
129	1.784995076
130	1.784100754
131	1.781422856
132	1.780644786
133	1.779887014
134	1.77909176
135	1.776860699
136	1.776091733
137	1.775191833
138	1.773984656
139	1.772029674
140	1.771406762
141	1.770676515
142	1.770210192
143	1.769469799
144	1.76812688
145	1.767277968
146	1.765831373
147	1.764346932
148	1.763143789
149	1.762619103
150	1.762001613
151	1.761105003
152	1.760106267
153	1.759215667
154	1.757480339
155	1.756420351
156	1.75560806
157	1.752653917
158	1.750405436
159	1.749290223
160	1.748639299
161	1.748103287
162	1.74534396
163	1.744905501
164	1.74318948
165	1.742436172
166	1.740666689
167	1.739532428
168	1.737489301
169	1.73664558
170	1.733427652
171	1.733067867
172	1.73232002
173	1.731176511
174	1.729039963
175	1.728399443
176	1.727586814
177	1.726931107
178	1.726145606
179	1.725255876
180	1.723127137
181	1.722685175
182	1.721909728
183	1.721277809
184	1.718318018
185	1.716681693
186	1.716121713
187	1.715178134
188	1.714316955
