iter	Passed	Remaining
0	9	9662
1	17	8711
2	24	8132
3	31	7821
4	38	7623
5	46	7651
6	53	7560
7	60	7441
8	67	7410
9	71	7109
10	78	7082
11	85	7054
12	92	7029
13	99	7005
14	106	6974
15	111	6829
16	118	6825
17	124	6809
18	131	6784
19	138	6769
20	144	6759
21	152	6772
22	159	6777
23	166	6768
24	173	6764
25	180	6747
26	186	6731
27	193	6723
28	200	6711
29	207	6702
30	214	6717
31	222	6737
32	229	6732
33	236	6724
34	243	6725
35	251	6723
36	258	6715
37	264	6705
38	271	6689
39	278	6681
40	285	6671
41	292	6667
42	299	6661
43	305	6646
44	312	6639
45	319	6631
46	326	6616
47	333	6606
48	339	6595
49	346	6586
50	353	6575
51	360	6567
52	366	6556
53	373	6543
54	380	6535
55	387	6528
56	393	6514
57	400	6509
58	407	6497
59	415	6506
60	422	6505
61	429	6493
62	436	6497
63	443	6491
64	450	6486
65	457	6478
66	464	6474
67	471	6468
68	478	6456
69	485	6447
70	492	6440
71	499	6436
72	506	6430
73	512	6419
74	519	6408
75	526	6401
76	533	6389
77	539	6376
78	546	6373
79	554	6372
80	561	6373
81	568	6363
82	575	6355
83	582	6349
84	588	6340
85	595	6327
86	602	6319
87	608	6310
88	616	6307
89	623	6307
90	630	6299
91	638	6299
92	645	6293
93	651	6283
94	659	6280
95	666	6272
96	673	6266
97	679	6256
98	686	6247
99	694	6246
100	701	6239
101	707	6229
102	714	6221
103	721	6212
104	728	6206
105	734	6196
106	741	6185
107	748	6179
108	754	6170
109	761	6159
110	768	6158
111	775	6149
112	782	6141
113	789	6134
114	795	6125
115	802	6116
116	809	6106
117	816	6102
118	823	6098
119	831	6095
120	838	6089
121	844	6079
122	851	6070
123	858	6063
124	864	6053
125	871	6046
126	879	6044
127	886	6037
128	893	6029
129	900	6025
130	907	6017
131	913	6008
132	920	6000
133	927	5991
134	934	5987
135	941	5979
136	947	5971
137	954	5961
138	960	5952
139	967	5943
140	974	5934
141	981	5927
142	987	5919
143	994	5911
144	1001	5904
145	1008	5899
146	1015	5894
147	1023	5892
148	1031	5888
149	1037	5881
150	1044	5873
151	1051	5867
152	1058	5860
153	1065	5853
154	1072	5848
155	1079	5840
156	1086	5832
157	1093	5826
158	1100	5820
159	1107	5814
160	1114	5809
161	1121	5801
162	1128	5793
163	1135	5786
164	1141	5779
165	1148	5772
166	1155	5764
167	1162	5758
168	1169	5750
169	1176	5744
170	1183	5736
171	1190	5731
172	1198	5727
173	1205	5721
174	1212	5715
175	1219	5710
176	1226	5705
177	1233	5698
178	1240	5690
179	1247	5684
180	1254	5677
181	1261	5669
182	1267	5660
183	1274	5652
184	1281	5644
185	1288	5638
186	1295	5631
187	1302	5624
188	1309	5617
189	1315	5609
190	1322	5603
191	1329	5595
192	1336	5587
193	1342	5579
194	1349	5572
195	1356	5565
196	1364	5559
197	1370	5551
198	1377	5543
199	1384	5536
200	1391	5530
201	1397	5522
202	1405	5518
203	1412	5511
204	1419	5504
205	1426	5499
206	1433	5491
207	1440	5483
208	1446	5476
209	1453	5467
210	1460	5460
211	1467	5454
212	1475	5450
213	1481	5442
214	1488	5435
215	1495	5429
216	1502	5422
217	1509	5415
218	1531	5462
219	1538	5453
220	1545	5447
221	1552	5439
222	1558	5430
223	1565	5423
224	1571	5414
225	1578	5406
226	1585	5398
227	1591	5390
228	1598	5382
229	1605	5376
230	1612	5369
231	1619	5360
232	1626	5352
233	1633	5347
234	1640	5340
235	1647	5333
236	1654	5325
237	1660	5317
238	1667	5308
239	1674	5301
240	1680	5293
241	1687	5285
242	1693	5276
243	1701	5270
244	1707	5262
245	1714	5254
246	1721	5246
247	1727	5238
248	1734	5231
249	1741	5223
250	1748	5216
251	1754	5208
252	1761	5200
253	1768	5193
254	1775	5185
255	1781	5177
256	1788	5170
257	1795	5162
258	1801	5155
259	1808	5146
260	1815	5139
261	1822	5133
262	1829	5128
263	1837	5122
264	1844	5115
265	1851	5108
266	1858	5101
267	1865	5094
268	1871	5086
269	1878	5079
270	1885	5071
271	1892	5064
272	1899	5057
273	1905	5049
274	1912	5042
275	1919	5034
276	1925	5026
277	1933	5020
278	1939	5012
279	1946	5004
280	1952	4997
281	1959	4989
282	1966	4982
283	1972	4974
284	1979	4966
285	1986	4958
286	1992	4950
287	1999	4943
288	2006	4936
289	2013	4929
290	2020	4921
291	2026	4914
292	2034	4908
293	2041	4903
294	2049	4898
295	2056	4891
296	2062	4882
297	2069	4875
298	2076	4867
299	2082	4859
300	2089	4852
301	2096	4844
302	2103	4839
303	2111	4833
304	2117	4826
305	2125	4819
306	2131	4812
307	2138	4804
308	2145	4797
309	2152	4790
310	2159	4783
311	2166	4777
312	2173	4770
313	2180	4762
314	2186	4755
315	2193	4747
316	2200	4740
317	2206	4732
318	2213	4725
319	2220	4717
320	2226	4710
321	2234	4704
322	2242	4699
323	2249	4693
324	2256	4687
325	2263	4680
326	2270	4673
327	2277	4666
328	2284	4659
329	2291	4651
330	2297	4644
331	2304	4636
332	2311	4629
333	2318	4622
334	2325	4616
335	2332	4608
336	2338	4601
337	2345	4593
338	2352	4587
339	2359	4580
340	2366	4573
341	2373	4566
342	2380	4559
343	2387	4552
344	2394	4545
345	2401	4538
346	2407	4531
347	2414	4523
348	2421	4517
349	2428	4510
350	2435	4503
351	2443	4498
352	2450	4492
353	2457	4485
354	2464	4478
355	2471	4470
356	2478	4463
357	2485	4456
358	2491	4449
359	2498	4442
360	2505	4435
