iter	Logloss
0	0.6906381507
1	0.6888626277
2	0.6861952007
3	0.6841589726
4	0.6818751092
5	0.6797982166
6	0.6772449962
7	0.6757997282
8	0.6733027301
9	0.6713004863
10	0.6693303771
11	0.6675636882
12	0.6659445335
13	0.6640806395
14	0.6619090247
15	0.6596212564
16	0.6573161975
17	0.655870933
18	0.6539711568
19	0.6517154207
20	0.6496740273
21	0.6473896483
22	0.6455528668
23	0.6433144454
24	0.6412906101
25	0.6388805496
26	0.6368971864
27	0.6350484795
28	0.6337203905
29	0.6319455233
30	0.6303552908
31	0.6283647898
32	0.6261887441
33	0.6239732863
34	0.6221931941
35	0.6200145843
36	0.6185311069
37	0.6168040737
38	0.6149082732
39	0.6131124061
40	0.6116330062
41	0.6096396054
42	0.6083450261
43	0.6060459133
44	0.6040438175
45	0.6026203442
46	0.6008068186
47	0.5991409687
48	0.5974895834
49	0.5963852763
50	0.5946246512
51	0.5931420462
52	0.5914665093
53	0.5896764462
54	0.5883477643
55	0.5864623802
56	0.5851893201
57	0.5836458376
58	0.5822648197
59	0.5807239225
60	0.5790910464
61	0.5777046987
62	0.5764350587
63	0.5750320312
64	0.5741646635
65	0.5725768706
66	0.5709936352
67	0.569704944
68	0.5685609506
69	0.5671162537
70	0.5657167677
71	0.5643840994
72	0.5631630839
73	0.5620215349
74	0.5610106077
75	0.5599130974
76	0.5589994517
77	0.5581336881
78	0.5563899038
79	0.555207587
80	0.5542967294
81	0.5531722974
82	0.5519847183
83	0.55097719
84	0.5499155444
85	0.5488102362
86	0.5477562897
87	0.5469744072
88	0.5455664627
89	0.5445345159
90	0.5437309625
91	0.5430189097
92	0.542177257
93	0.5414854401
94	0.5406201987
95	0.5399377537
96	0.5390222799
97	0.5379519289
98	0.5372242666
99	0.5365757365
100	0.5350186624
101	0.534012954
102	0.5331236997
103	0.5318750681
104	0.5305919262
105	0.5301531633
106	0.5295200332
107	0.5285763706
108	0.5274088021
109	0.5264391736
110	0.5254563884
111	0.5244076102
112	0.5233351438
113	0.522712409
114	0.5217660958
115	0.5209077266
116	0.5201346247
117	0.5192185082
118	0.5180659054
119	0.5173511929
120	0.5167930483
121	0.5163844001
122	0.5152959945
123	0.5142604263
124	0.5137371737
125	0.5130146788
126	0.5121699383
127	0.5113435624
128	0.5103316886
129	0.509767158
130	0.5088460021
131	0.5080549649
132	0.507117959
133	0.5065741496
134	0.5055119973
135	0.5047347448
136	0.5038817602
137	0.5031071163
138	0.5024362137
139	0.501779933
140	0.5010287995
141	0.5002329197
142	0.4997131368
143	0.4986776699
144	0.4979392338
145	0.497673685
146	0.4972104967
147	0.4962930986
148	0.495541036
149	0.4946834938
150	0.4941363119
151	0.49344071
152	0.4929018874
