iter	Passed	Remaining
0	1	1136
1	1	725
2	1	592
3	2	522
4	2	463
5	2	431
6	2	402
7	3	373
8	3	357
9	3	340
10	3	328
11	3	315
12	4	319
13	4	316
14	4	310
15	5	313
16	5	310
17	5	303
18	5	294
19	5	288
20	6	286
21	6	284
22	6	278
23	6	277
24	7	274
25	7	274
26	7	272
27	7	269
28	7	265
29	8	263
30	8	263
31	8	264
32	8	261
33	9	260
34	9	261
35	9	260
36	10	262
37	10	265
38	10	264
39	11	264
40	11	263
41	11	262
42	11	262
43	12	261
44	12	261
45	12	260
46	12	259
47	13	258
48	13	256
49	13	253
50	13	253
51	13	252
52	13	250
53	14	249
54	14	248
55	14	247
56	14	246
57	15	246
58	15	244
59	15	245
60	15	246
61	16	247
62	16	249
63	17	249
64	17	248
65	17	247
66	17	246
67	17	244
68	18	245
69	18	245
70	18	244
71	18	243
72	19	242
73	19	242
74	19	240
75	19	240
76	20	241
77	20	241
78	20	239
79	20	239
80	21	240
81	21	241
82	21	240
83	21	239
84	22	238
85	22	237
86	22	237
87	22	238
88	23	238
89	23	238
90	23	238
91	24	237
92	24	238
93	24	238
94	25	239
95	25	239
96	25	238
97	25	238
98	26	238
99	26	238
100	26	237
101	27	237
102	27	237
103	27	237
104	27	237
105	28	236
106	28	236
107	28	236
108	28	235
109	29	236
110	29	236
111	29	236
112	30	235
113	30	235
114	30	235
115	30	235
116	31	234
117	31	233
118	31	233
119	32	234
120	32	234
121	32	233
122	32	234
123	33	233
124	33	233
125	33	232
126	33	233
127	34	234
128	34	234
129	35	235
130	35	234
131	35	234
132	35	234
133	36	233
134	36	233
135	36	233
136	37	233
137	37	232
138	37	230
139	37	231
140	37	231
141	38	231
142	38	230
143	38	230
144	39	230
145	39	229
146	39	229
147	39	229
148	40	230
149	40	230
150	41	230
151	41	231
152	41	231
153	42	231
154	42	230
155	42	230
156	42	229
157	43	229
158	43	229
159	43	228
160	43	228
161	44	228
162	44	228
163	44	227
164	44	227
165	45	226
166	45	226
167	45	226
168	46	226
169	46	226
170	46	226
171	46	225
172	47	225
173	47	225
174	47	225
175	48	224
176	48	224
177	48	224
178	48	224
179	49	224
180	49	224
181	49	223
182	49	223
183	50	222
184	50	222
185	50	222
186	51	221
187	51	221
188	51	221
189	51	220
190	52	220
191	52	220
192	52	220
193	52	219
194	53	219
195	53	219
196	53	219
197	54	219
198	54	219
199	54	219
200	55	219
201	55	218
202	55	218
203	55	218
204	56	217
205	56	217
206	56	217
207	56	216
208	57	216
209	57	216
210	57	215
211	57	215
212	58	214
213	58	214
214	58	214
215	58	213
216	59	213
217	59	213
218	59	213
219	60	212
220	60	212
221	60	213
222	60	212
223	61	212
224	61	212
225	61	211
226	62	211
227	62	212
228	63	213
229	63	212
230	63	212
231	64	211
232	64	211
233	64	211
234	64	211
235	65	210
236	65	210
237	65	209
238	65	209
239	66	209
240	66	208
241	66	208
242	66	208
243	66	207
244	67	206
245	67	206
246	67	206
247	67	206
248	68	205
249	68	205
250	68	205
251	69	205
252	69	205
253	69	205
254	70	205
255	70	204
256	70	204
257	70	204
258	71	203
259	71	203
260	71	203
261	72	202
262	72	202
263	72	202
264	72	202
265	73	202
