iter	Logloss
0	0.6843074047
1	0.6769546595
2	0.6674522987
3	0.6591092706
4	0.6511854639
5	0.6434120242
6	0.6350017711
7	0.6261991116
8	0.6187715563
9	0.6102088504
10	0.6020526919
11	0.5926710151
12	0.5826792732
13	0.5737158419
14	0.566770041
15	0.5566241662
16	0.5495372796
17	0.5429567363
18	0.5360840566
19	0.5306316592
20	0.5235914669
21	0.5188561514
22	0.5126237139
23	0.5065170644
24	0.4996798703
25	0.4933211159
26	0.4859483561
27	0.4790476034
28	0.4737119501
29	0.4675365657
30	0.4630907815
31	0.4573076143
32	0.4523263434
33	0.4487976128
34	0.4420734321
35	0.4371054533
36	0.4320182148
37	0.427334209
38	0.4227000426
39	0.4171527708
40	0.411778716
41	0.4060981638
42	0.4014058353
43	0.3976078228
44	0.3935589493
45	0.3892374518
46	0.385505716
47	0.3806331148
48	0.3762360917
49	0.3715444202
50	0.3669684395
51	0.3616064016
52	0.357315405
53	0.3540828638
54	0.3492567563
55	0.3463325724
56	0.3433730919
57	0.3398451797
58	0.3352357269
59	0.3312591705
60	0.3280765291
61	0.3249834833
62	0.3225267679
63	0.319217812
64	0.3162484454
65	0.3128822851
66	0.3096783767
67	0.3062198299
68	0.3037617175
69	0.3008529759
70	0.2974005848
71	0.2945057392
72	0.2917702111
73	0.2891703378
74	0.2869367818
75	0.2846648641
76	0.2820754744
77	0.2787372715
78	0.2755876871
79	0.273802035
80	0.271602136
81	0.26955807
82	0.2668460317
83	0.2647621113
84	0.2618827458
85	0.2597804992
86	0.2570998412
87	0.2552606249
88	0.2534133922
89	0.2505730497
90	0.2475139436
91	0.2460882539
92	0.2442831955
93	0.2419803519
94	0.2402137415
95	0.2377385353
96	0.2359523017
97	0.2337090111
98	0.231408816
99	0.2287652591
100	0.2267021314
101	0.2247129021
102	0.2225793091
103	0.2213748385
104	0.2195180992
105	0.2179218682
106	0.2168464745
107	0.2151323832
108	0.213549331
109	0.2120387923
110	0.2105035375
111	0.2083824482
112	0.2065502298
113	0.2052857213
114	0.2034856268
115	0.2020694083
116	0.2007703904
117	0.1990072544
118	0.1972476315
119	0.1958575212
120	0.1941179522
121	0.1925027985
122	0.1906507493
123	0.1898228964
124	0.1881555984
125	0.1865431404
126	0.1850184362
127	0.183968712
128	0.1826098892
129	0.1815179832
130	0.1806519797
131	0.1792402851
132	0.1780270206
133	0.1769976968
134	0.1758259866
135	0.1741188888
136	0.1723722152
137	0.1710486618
138	0.1695220356
139	0.1681357845
140	0.1670496972
141	0.1659840133
142	0.1652154897
143	0.1643550617
144	0.1629129501
145	0.1617881069
146	0.1608056945
147	0.159447531
148	0.1578256004
149	0.1565180293
150	0.1557476006
151	0.15489716
152	0.1542337005
153	0.15304548
154	0.1518766256
155	0.1506109372
156	0.1495386921
157	0.1481596757
158	0.1471419555
159	0.1461443986
160	0.1451408483
161	0.1443963572
162	0.1435043074
163	0.1420722692
164	0.1413229953
165	0.1402777846
166	0.1396094424
167	0.138730434
168	0.1375135554
169	0.1365285653
170	0.1355191622
171	0.1348188472
172	0.1339302002
173	0.1329952164
174	0.1321268156
175	0.1315657848
176	0.1305855023
177	0.1298876829
178	0.1292754728
179	0.128070752
180	0.1275267726
181	0.1268886455
182	0.1260707581
183	0.125531664
184	0.124952059
185	0.1244134693
186	0.1237499381
187	0.1231181234
188	0.1224369416
189	0.1219492667
190	0.1215632469
191	0.1209879133
192	0.1202712442
193	0.1196456682
194	0.1191262506
195	0.1184020207
196	0.117737836
197	0.1170344475
198	0.1163935833
199	0.1158693342
200	0.1148618012
201	0.1144183519
202	0.1138885655
203	0.1134034369
204	0.1127645553
205	0.1120986819
206	0.1117285883
207	0.1112456007
208	0.1107468767
209	0.1102250427
210	0.1094790366
211	0.1088569945
212	0.1080363989
213	0.1074185074
214	0.1068759877
215	0.1063520495
216	0.1059074074
217	0.1054016006
218	0.1047609107
219	0.1043811708
220	0.1038999515
221	0.1036620075
222	0.1029174998
223	0.102442637
224	0.1015589487
225	0.1011057791
226	0.1007484171
227	0.1002824236
228	0.09968354718
229	0.09937291293
230	0.09904153335
231	0.09855547783
232	0.09822677544
233	0.09764554984
234	0.09707880977
235	0.09663225185
236	0.09633916621
237	0.09579117202
238	0.09529658308
239	0.09495377326
240	0.09447632757
241	0.09391391129
242	0.09354330238
243	0.09314313317
244	0.09267809444
245	0.09216517015
246	0.09162168797
247	0.09132722484
248	0.09100726383
249	0.09057319251
250	0.09030358818
251	0.08998746431
252	0.08973236356
253	0.08933955917
254	0.0888766699
255	0.08848942862
256	0.08817910381
257	0.08786756156
258	0.08737429968
259	0.08718463975
260	0.08688280816
261	0.08651454022
262	0.08625091083
263	0.0858654109
264	0.08558305749
265	0.08522940137
266	0.08491346496
267	0.0845456546
268	0.08429677147
269	0.0839145774
270	0.08356688573
271	0.08318976245
272	0.08281839746
273	0.08252187129
274	0.08228932648
275	0.08205392027
276	0.08168514917
277	0.0813327938
278	0.08086188409
279	0.08062264415
280	0.08023321226
281	0.07982117307
282	0.07951802967
283	0.07918049297
284	0.07897084031
285	0.0787347074
286	0.07846086118
287	0.07816088362
288	0.07785471189
289	0.07752676472
290	0.07709093384
291	0.07676093862
292	0.07655316675
293	0.07620188553
294	0.07607092322
295	0.07581932791
296	0.07548983789
297	0.07536243353
298	0.0750860653
299	0.0747631638
300	0.07457689613
301	0.07433494413
302	0.07413829496
303	0.07390551097
304	0.07357510942
305	0.07327980446
306	0.07302049932
307	0.07275149101
308	0.07241956768
309	0.07216659914
310	0.07192895759
311	0.07168030891
312	0.07131975342
313	0.0710300594
314	0.07081624752
315	0.07060657137
316	0.07039996431
317	0.07006387849
318	0.06978186706
319	0.06945576341
320	0.06908326056
321	0.0689523257
322	0.06878692659
323	0.06855108827
324	0.0683542062
325	0.0681484203
326	0.06793738652
327	0.06774587448
328	0.06758029894
329	0.06742881821
330	0.06713535776
331	0.0668634721
332	0.06677612648
333	0.06650369168
334	0.06623114817
335	0.06599087926
336	0.06578754993
337	0.06546548749
338	0.0652414461
339	0.06503941609
340	0.06482203255
341	0.06462344405
342	0.06446281328
343	0.06408055269
344	0.0639230348
345	0.06361981165
346	0.06330567873
347	0.06302124391
348	0.06276555822
349	0.06248936041
350	0.06228408155
351	0.06209381597
352	0.06183732958
353	0.06171752508
354	0.06148889288
355	0.06119742337
356	0.06101653035
357	0.06072894975
358	0.0604306282
359	0.06029224713
360	0.06018665557
361	0.06005618143
362	0.05992507887
363	0.05982141867
364	0.05957209719
365	0.0593645635
366	0.05917356439
367	0.05892185296
368	0.05870403792
369	0.05850762916
370	0.05840265589
371	0.05827298971
372	0.05811205346
373	0.05796362106
374	0.05779385682
375	0.05760605198
376	0.05742296869
377	0.05722988574
378	0.05704445497
379	0.05688729217
380	0.05669709516
381	0.05657516267
382	0.05646170434
383	0.05619046641
384	0.05599019353
385	0.05587331907
386	0.05563996965
387	0.05543278352
388	0.05536218637
389	0.05522816855
390	0.05492211998
391	0.05472925024
392	0.05449287154
393	0.05439370862
394	0.054194777
395	0.05402758493
396	0.05384854844
397	0.05361947986
398	0.05348511504
399	0.05329992955
400	0.05313713388
401	0.052952334
402	0.05275026876
403	0.05258998374
404	0.05242143603
405	0.05226185618
406	0.05214639203
407	0.05198559225
408	0.05185218738
409	0.05167183675
410	0.05151065068
411	0.05135625671
412	0.05122600119
413	0.05107417649
414	0.05093305297
415	0.0507981995
416	0.05060638226
417	0.05043928009
418	0.05033127148
419	0.05013949269
420	0.04998660194
421	0.04981900167
422	0.04969305029
423	0.0495683856
424	0.04939083495
425	0.04928151336
426	0.04910346951
427	0.04892836981
428	0.04876551195
429	0.04861233537
430	0.04844776053
431	0.04826872918
432	0.04813426234
433	0.04798364091
434	0.04781864037
435	0.04763832395
436	0.04751390285
437	0.04736883635
438	0.04722029118
439	0.04708602726
440	0.04695918628
441	0.04685499756
442	0.04668272876
443	0.04652022416
444	0.04636161069
445	0.04619127753
446	0.04608817641
447	0.0459229014
448	0.04581710862
449	0.04565323137
450	0.04554234608
451	0.04541947144
452	0.04525828268
453	0.04508767976
454	0.04500552069
455	0.04486694324
456	0.04466081014
457	0.0445218109
458	0.0444066546
459	0.04427915003
460	0.04416868659
461	0.04403031528
462	0.04387188711
463	0.04367506289
464	0.04357626442
465	0.04345894407
466	0.04336346839
467	0.04328430776
468	0.043174167
469	0.04308286501
470	0.04294289172
471	0.042789233
472	0.04265967464
473	0.04254741835
474	0.04241108646
475	0.04233657448
476	0.04225596049
477	0.042158568
478	0.04205227093
479	0.04194139465
480	0.04174471813
481	0.04163606921
482	0.04149749874
483	0.04137983324
484	0.04124590695
485	0.041076834
486	0.04091087762
487	0.04081278099
488	0.04071019461
489	0.04063000595
490	0.04051511268
491	0.04041960573
492	0.04035003276
493	0.04016377053
494	0.04003257601
495	0.03989959251
496	0.03985081739
497	0.03973263051
498	0.03963390996
499	0.0395640139
500	0.03943832737
501	0.03933109321
502	0.03924775024
503	0.03913703986
504	0.0390083727
505	0.03891920673
506	0.03878547245
507	0.03869689392
508	0.03858619758
509	0.03849830568
510	0.03840313895
511	0.03830840541
512	0.03824557493
513	0.03816872948
514	0.03808361554
515	0.03794904307
516	0.03788644791
517	0.03773937526
518	0.03758557393
519	0.03748077236
520	0.03739418265
521	0.03726214434
522	0.0372123962
523	0.0371595853
524	0.03703385989
525	0.03693367793
526	0.03679202018
527	0.03674711889
528	0.03666336217
529	0.03659510596
530	0.03657182896
531	0.03650757421
532	0.03646360526
533	0.03637563925
534	0.03631307736
535	0.03619642534
536	0.03608777152
537	0.03601096567
538	0.03592464854
539	0.03585604111
540	0.03573895558
541	0.03562366955
542	0.03556443695
543	0.03545154803
544	0.0353300218
545	0.03521311383
546	0.03515236673
547	0.03506129168
548	0.03499477159
549	0.03484758846
550	0.0348052646
551	0.03472425013
552	0.03462025557
553	0.03453434823
554	0.03446710356
555	0.03442470683
556	0.03435352206
557	0.0342586341
558	0.03422155996
559	0.03412919891
560	0.0341074679
561	0.03402245305
562	0.03392189091
563	0.03387121119
564	0.03383820098
565	0.03376704679
566	0.03367650092
567	0.033565031
568	0.03349888631
569	0.0333817411
570	0.03334038803
571	0.03325296276
572	0.03309166897
573	0.0330657057
574	0.03294405691
575	0.03288159644
576	0.03280763462
577	0.03270782614
578	0.03258836224
579	0.03247175071
580	0.03245120229
581	0.03233918634
582	0.03222301829
583	0.03215610031
584	0.0321142488
585	0.03202073362
586	0.03193648485
587	0.03187434475
588	0.03178771082
589	0.0317008019
590	0.03162777275
591	0.03153646523
592	0.03145670648
593	0.0313899628
594	0.03131593937
595	0.03119930236
596	0.03108187809
597	0.03099657943
598	0.03091834096
599	0.0308898959
600	0.03079182017
601	0.03071402305
602	0.03066784343
603	0.03060052162
604	0.03050304213
605	0.030438693
606	0.0303630499
607	0.03033733515
608	0.03027912531
609	0.03019357665
610	0.03012818583
611	0.03006315878
612	0.03001511494
613	0.02998490097
614	0.02989750158
615	0.02984230839
616	0.02975295862
617	0.02969417761
618	0.02960179883
619	0.02953433169
620	0.02948162279
621	0.02943439321
622	0.02934403349
623	0.02930008887
624	0.02927169218
625	0.02922498936
626	0.02914612452
627	0.02904259098
628	0.02897983551
629	0.02891926521
630	0.02887425266
631	0.02877911826
632	0.028693291
633	0.02860213983
634	0.02854026965
635	0.02843915145
636	0.02837794288
637	0.02833235237
638	0.02827408338
639	0.02820880814
640	0.02816394018
641	0.02808880325
642	0.02799315965
643	0.02793829928
644	0.02788040569
645	0.02783973835
646	0.02778887858
647	0.02775739463
648	0.02770825583
649	0.02765443371
650	0.02751221944
651	0.02742531279
652	0.02737658822
653	0.02731579503
654	0.02725882477
655	0.0271664784
656	0.02710901748
657	0.02704652669
658	0.02697970816
659	0.02693223373
660	0.02686750594
661	0.02682551352
662	0.0267582505
663	0.0266871265
664	0.02661410679
665	0.02657429789
666	0.02649764571
667	0.02644545022
668	0.02639714947
669	0.02633942808
670	0.02629894159
671	0.02623781977
672	0.02619306366
673	0.02615922051
674	0.02612557742
675	0.02610672525
676	0.02607145154
677	0.02597039376
678	0.02591986423
679	0.02589971536
680	0.02587032265
681	0.02582182539
682	0.02576632476
683	0.02571479023
684	0.02565841455
685	0.02559384396
686	0.02554582236
687	0.0255076368
688	0.02544236323
689	0.0253881339
690	0.02532516939
691	0.02526468638
692	0.0251933492
