iter	Passed	Remaining
0	2	2082
1	3	1504
2	3	1322
3	4	1209
4	5	1177
5	6	1134
6	7	1102
7	8	1108
8	9	1094
9	10	1076
10	11	1063
11	12	1062
12	13	1061
13	15	1059
14	16	1076
15	18	1120
16	19	1120
17	20	1109
18	21	1105
19	22	1097
20	23	1093
21	24	1088
22	25	1086
23	26	1084
24	27	1090
25	29	1098
26	30	1101
27	32	1125
28	33	1137
29	35	1132
30	36	1127
31	37	1126
32	38	1123
33	39	1116
34	40	1111
35	41	1108
36	42	1102
37	43	1100
38	44	1098
39	46	1116
40	48	1125
41	49	1138
42	51	1136
43	52	1136
44	53	1137
45	54	1132
46	55	1129
47	56	1126
48	57	1121
49	58	1116
50	59	1109
51	60	1108
52	62	1110
53	63	1106
54	64	1112
55	66	1120
56	67	1120
57	68	1118
58	69	1114
59	70	1111
60	72	1109
61	73	1105
62	74	1102
63	75	1099
64	76	1096
65	77	1093
66	78	1092
67	79	1091
68	82	1107
69	83	1104
70	84	1099
71	85	1097
72	86	1094
73	87	1098
74	88	1096
75	90	1096
76	91	1098
77	92	1096
78	94	1098
79	95	1100
80	97	1106
81	98	1105
82	99	1102
83	100	1097
84	101	1093
85	102	1089
86	103	1088
87	104	1086
88	105	1083
89	106	1080
90	108	1079
91	109	1078
92	110	1078
93	111	1078
94	113	1080
95	115	1083
96	116	1083
97	117	1081
98	118	1078
99	119	1075
100	120	1073
101	121	1071
102	122	1069
103	123	1065
104	124	1063
105	125	1061
106	127	1062
107	128	1061
108	130	1064
109	131	1063
110	132	1061
111	133	1059
112	134	1056
113	135	1055
114	136	1052
115	137	1049
116	138	1047
117	139	1044
118	140	1041
119	141	1038
120	142	1036
121	144	1036
122	145	1036
123	147	1042
124	148	1041
125	149	1040
126	151	1038
127	152	1036
128	153	1034
129	154	1034
130	155	1032
131	156	1031
132	157	1029
133	159	1028
134	160	1027
135	161	1028
136	163	1029
137	164	1028
138	165	1026
139	166	1024
140	167	1021
141	168	1018
142	169	1016
143	170	1014
144	171	1011
145	172	1010
146	174	1009
147	175	1008
148	176	1007
149	177	1007
150	179	1006
151	180	1004
152	181	1002
153	182	1000
154	183	998
155	184	996
156	185	998
157	186	995
158	187	993
159	188	991
160	189	989
161	190	987
162	192	986
163	193	984
164	195	988
165	196	987
166	197	984
167	198	982
168	199	980
169	200	977
170	201	975
171	202	974
172	203	972
173	204	970
174	205	969
175	206	967
176	207	966
177	209	966
178	210	966
179	212	966
180	213	964
181	214	962
182	215	959
183	216	958
184	216	955
185	217	953
186	218	951
187	219	949
188	220	947
189	221	946
190	222	944
191	224	943
192	225	942
193	226	942
194	227	941
195	228	939
196	230	937
197	231	936
198	232	934
199	233	932
200	234	930
201	235	929
202	236	927
203	237	925
204	238	923
205	239	922
206	240	920
207	241	921
208	243	921
209	244	920
210	245	919
211	246	917
212	247	916
213	248	914
214	249	912
215	251	911
216	252	909
217	252	907
218	253	905
219	254	903
220	255	902
221	257	901
222	258	902
223	260	903
224	262	904
225	263	903
226	264	901
227	265	899
228	266	898
229	267	896
230	268	895
231	269	893
232	270	891
233	272	891
234	273	891
235	275	892
236	277	892
237	278	890
238	279	889
239	281	890
240	282	889
241	283	887
242	284	886
243	286	886
244	287	885
245	289	886
246	291	887
247	292	888
248	293	886
249	294	884
250	295	882
251	296	881
252	297	879
253	298	877
254	299	875
255	300	874
256	301	872
257	302	870
258	303	869
259	305	868
260	306	867
261	308	867
262	309	866
263	310	864
264	311	862
265	312	861
266	313	859
267	314	857
268	315	856
269	316	854
270	317	853
271	318	851
272	319	850
273	320	848
274	321	847
275	322	847
276	324	847
277	325	846
278	326	844
279	327	843
280	328	841
281	329	840
282	330	838
283	331	836
284	332	835
285	333	833
286	334	831
287	335	830
288	337	829
289	338	828
290	339	828
291	341	828
292	342	826
293	343	825
294	344	824
295	345	822
296	346	821
297	347	819
298	348	817
299	349	816
300	350	814
301	351	812
302	352	811
303	354	811
304	355	809
305	356	809
306	358	809
307	359	807
308	360	805
309	361	804
310	362	803
311	363	801
312	364	799
313	365	798
314	366	796
315	367	794
316	368	793
317	369	792
318	370	791
319	371	790
320	373	789
321	374	788
322	375	787
323	376	785
324	377	784
325	378	783
326	379	781
327	380	780
328	381	778
329	382	777
330	383	776
331	385	774
332	386	773
333	387	772
334	388	771
335	389	770
336	391	769
337	392	768
338	393	767
339	394	766
340	395	764
341	396	763
342	397	761
343	398	760
344	399	758
345	400	757
346	401	756
347	402	754
348	403	753
349	404	751
350	405	750
351	406	749
352	408	748
353	409	747
354	410	746
355	411	744
356	412	743
357	414	742
358	414	740
359	415	739
360	416	737
361	417	736
362	418	734
363	419	733
364	420	732
365	421	730
366	423	730
367	424	728
368	425	727
369	426	725
370	427	724
371	428	722
372	428	720
373	429	719
374	430	717
375	431	716
376	432	714
377	433	712
378	434	711
379	435	709
380	435	708
381	437	707
382	438	706
383	439	704
384	439	702
385	440	701
386	441	699
387	443	699
388	444	697
389	444	696
390	445	694
391	446	692
392	447	691
393	448	689
394	449	688
395	450	686
396	451	685
397	452	684
398	453	682
399	454	681
400	455	679
401	455	678
402	456	676
403	457	675
404	458	674
405	459	672
406	460	671
407	461	669
408	462	668
409	463	666
410	464	665
411	465	663
412	465	662
413	466	660
414	467	659
415	468	657
416	469	656
417	470	654
418	471	653
419	472	651
420	472	650
421	473	648
422	474	647
423	475	645
424	476	644
425	477	642
426	477	641
427	478	639
428	479	638
429	480	637
430	481	635
431	482	634
432	483	632
433	484	631
434	485	630
435	486	629
436	487	628
437	488	626
438	489	625
439	490	624
440	491	623
441	492	622
442	493	620
443	494	619
444	495	618
445	496	616
446	497	615
447	498	614
448	500	613
449	501	612
450	502	611
451	503	610
452	504	609
453	505	607
454	506	606
455	506	604
456	507	603
457	508	602
458	509	600
459	510	599
460	511	598
461	512	596
462	513	595
463	514	593
464	515	592
465	516	591
466	517	590
467	518	588
468	519	587
469	520	586
470	520	584
471	521	583
472	522	582
473	523	580
474	524	579
475	525	578
476	526	577
477	527	575
478	527	574
479	528	572
480	529	571
481	530	570
482	531	569
483	532	567
484	533	566
485	534	565
486	535	563
487	536	562
488	537	561
489	538	560
490	539	559
491	540	558
492	542	557
493	543	556
494	544	555
495	545	553
496	545	552
497	546	551
498	547	549
499	548	548
500	549	547
501	550	546
502	551	544
503	552	543
504	553	542
505	554	540
506	555	539
507	555	538
508	556	537
509	557	535
510	558	534
511	559	533
512	560	531
513	561	530
514	562	529
515	562	528
516	563	526
517	564	525
518	565	524
519	566	522
520	567	521
521	568	520
522	569	519
523	570	517
524	571	516
525	572	515
526	573	514
527	574	513
528	575	512
529	576	511
530	577	509
531	578	508
532	579	507
533	580	506
534	581	505
535	583	504
536	584	503
537	585	503
538	586	502
539	588	501
540	589	500
541	590	498
542	591	497
543	592	496
544	593	495
545	594	494
546	595	493
547	596	492
548	597	491
549	598	489
550	599	488
551	600	487
552	602	486
553	603	485
554	604	484
555	605	483
556	606	482
557	607	480
558	608	479
559	609	478
560	610	477
561	611	476
562	612	475
563	613	474
564	614	473
565	615	472
566	617	471
567	618	470
568	619	469
569	620	468
570	622	467
571	623	466
572	624	465
573	625	464
574	626	463
575	627	462
576	628	461
577	629	459
578	631	459
579	633	458
580	635	458
581	636	456
582	637	455
583	638	454
584	639	453
585	640	452
586	641	451
587	642	450
588	643	448
589	644	447
590	645	446
591	646	445
592	647	444
593	648	443
594	650	442
595	652	442
596	654	441
597	655	440
598	656	439
599	657	438
600	659	437
601	660	436
602	661	435
603	662	434
604	663	433
605	664	432
606	666	431
607	667	430
608	668	429
609	669	428
610	670	427
611	671	425
612	672	424
613	673	423
614	674	422
615	675	420
616	676	419
617	677	418
618	678	417
619	680	416
620	682	416
621	683	415
622	685	414
623	686	413
624	687	412
625	688	411
626	689	410
627	690	409
628	691	407
629	692	406
630	693	405
631	694	404
632	696	403
633	697	402
634	698	401
635	700	400
636	701	399
637	702	398
638	703	397
639	704	396
640	705	395
641	706	394
642	707	393
643	709	391
644	710	390
645	711	389
646	712	388
647	714	387
648	715	386
649	716	385
650	717	384
651	718	383
652	719	382
653	720	381
654	721	380
655	722	379
656	723	377
657	725	376
658	725	375
659	727	374
660	728	373
661	729	372
662	731	371
663	732	370
664	733	369
665	734	368
666	735	367
667	736	366
668	737	364
669	738	363
670	739	362
671	740	361
672	741	360
673	743	359
674	744	358
675	745	357
676	747	356
677	748	355
678	750	354
679	751	353
680	751	352
681	753	351
682	753	349
683	754	348
684	755	347
685	756	346
686	757	345
687	759	344
688	760	343
689	761	342
690	762	341
691	764	340
692	765	339
693	766	338
694	767	336
695	768	335
696	769	334
697	770	333
698	771	332
699	772	331
700	773	329
701	774	328
702	775	327
703	777	326
704	778	325
705	780	324
706	781	323
707	782	322
708	783	321
709	785	320
710	786	319
711	787	318
712	788	317
713	789	316
714	790	315
715	791	313
716	792	312
717	793	311
718	795	310
719	796	309
720	797	308
721	798	307
722	800	306
723	801	305
724	802	304
725	803	303
726	804	302
727	805	300
728	806	299
729	807	298
730	808	297
731	809	296
732	810	295
733	811	294
734	813	293
735	814	292
736	815	290
737	816	289
738	817	288
739	818	287
740	819	286
741	820	285
742	821	284
743	822	282
744	823	281
745	825	280
746	826	279
747	827	278
748	829	277
749	830	276
750	831	275
751	832	274
752	832	273
753	833	272
754	834	270
755	835	269
756	836	268
757	837	267
758	838	266
759	839	265
760	840	263
761	841	262
762	842	261
763	843	260
764	844	259
765	845	258
766	846	257
767	847	255
768	848	254
769	849	253
770	850	252
771	851	251
772	852	250
773	853	249
774	854	248
775	855	246
776	856	245
777	857	244
778	859	243
779	860	242
780	861	241
781	862	240
782	863	239
783	864	238
784	865	237
785	866	235
786	867	234
787	868	233
788	869	232
789	870	231
790	871	230
791	872	229
792	872	227
793	873	226
794	874	225
795	875	224
796	877	223
797	878	222
798	879	221
799	880	220
800	881	218
801	882	217
802	883	216
803	884	215
804	886	214
805	887	213
806	888	212
807	889	211
808	890	210
809	891	209
810	892	208
811	893	206
812	894	205
813	896	204
814	897	203
815	898	202
816	899	201
817	900	200
818	901	199
819	901	197
820	902	196
821	903	195
822	904	194
823	905	193
824	906	192
825	907	191
826	908	190
827	909	188
828	910	187
829	911	186
830	913	185
831	914	184
832	915	183
833	915	182
834	916	181
835	917	180
836	918	178
837	919	177
838	920	176
839	921	175
840	922	174
841	923	173
842	924	172
843	925	170
844	925	169
845	926	168
846	928	167
847	929	166
848	930	165
849	931	164
850	932	163
851	933	162
852	934	160
853	935	159
854	936	158
855	937	157
